29502,0682281494,0680151367,1,2019-03-10 17:57:42,0
29504,0637786865,0600891113,1,2019-03-10 19:00:24,0
29505,0683758544,0600878906,0,2019-03-10 19:43:19,0
29507,0685891723,0617410278,1,2019-03-10 21:47:36,1
29508,0617410278,0685891723,0,2019-03-10 21:47:36,1
29509,0615155029,0614749145,1,2019-03-10 22:35:51,1
29511,0615155029,0614749145,0,2019-03-10 22:36:58,1
29513,0614749145,0615155029,1,2019-03-10 22:40:18,1
29514,0615155029,0614749145,0,2019-03-10 22:40:18,1
29515,0635211181,0656356811,0,2019-03-10 22:55:01,1
29516,0656356811,0635211181,1,2019-03-10 22:55:01,1
29517,0614749145,0615155029,0,2019-03-10 23:07:40,0
29518,0615155029,0614749145,1,2019-03-10 23:07:40,0
29519,0614749145,0615155029,0,2019-03-10 23:07:48,1
29520,0615155029,0614749145,1,2019-03-10 23:07:48,1
29521,0615155029,0614749145,0,2019-03-10 23:09:05,1
29522,0614749145,0615155029,1,2019-03-10 23:09:05,1
29523,0635211181,0656356811,0,2019-03-10 23:32:30,1
29524,0656356811,0635211181,1,2019-03-10 23:32:30,1
29525,0635211181,0656356811,1,2019-03-10 23:47:30,1
29526,0656356811,0635211181,0,2019-03-10 23:47:30,1
29527,0635211181,0656356811,0,2019-03-10 23:48:50,1
29528,0656356811,0635211181,1,2019-03-10 23:48:50,1
29529,0635211181,0656356811,0,2019-03-10 23:49:09,0
29530,0656356811,0635211181,1,2019-03-10 23:49:09,0
29531,0635211181,0656356811,0,2019-03-10 23:58:35,1
29532,0656356811,0635211181,1,2019-03-10 23:58:35,1
29533,0635211181,0656356811,0,2019-03-11 00:16:29,1
29534,0656356811,0635211181,1,2019-03-11 00:16:29,1
29535,0647985839,0635211181,0,2019-03-11 00:30:42,0
29536,0635211181,0647985839,1,2019-03-11 00:30:42,0
29537,0617410278,0600125122,1,2019-03-11 00:41:50,0
29538,0600125122,0617410278,0,2019-03-11 00:41:50,0
29539,0635211181,0656356811,0,2019-03-11 01:08:18,1
29540,0656356811,0635211181,1,2019-03-11 01:08:18,1
29541,0635211181,0647985839,1,2019-03-11 14:25:30,0
29542,0647985839,0635211181,0,2019-03-11 14:25:30,0
29543,0635211181,0646844482,1,2019-03-11 14:55:19,1
29544,0646844482,0635211181,0,2019-03-11 14:55:19,1
29545,0637786865,0600891113,0,2019-03-11 15:30:52,0
29547,0635211181,0620535278,0,2019-03-11 15:31:44,1
29548,0620535278,0635211181,1,2019-03-11 15:31:44,1
29549,0614730834,0600891113,0,2019-03-11 15:57:50,0
29551,0614730834,0600891113,0,2019-03-11 16:21:58,0
29553,0650088500,0689013671,1,2019-03-11 16:48:14,1
29554,0689013671,0650088500,0,2019-03-11 16:48:14,1
29555,0650088500,0689013671,0,2019-03-11 16:48:28,1
29556,0689013671,0650088500,1,2019-03-11 16:48:28,1
29557,0689013671,0650088500,0,2019-03-11 16:48:50,1
29558,0650088500,0689013671,1,2019-03-11 16:48:50,1
29559,0650088500,0689013671,0,2019-03-11 16:49:14,0
29560,0689013671,0650088500,1,2019-03-11 16:49:14,0
